Unnamed: 0,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,Apps_trans,Accept_trans,Enroll_trans,Top10perc_trans,F.Undergrad_trans,P.Undergrad_trans,Outstate_trans,Books_trans,Personal_trans,PhD_trans,Terminal_trans,S.F.Ratio_trans,perc.alumni_trans,Expend_trans,Accept_Rate,Outstate_Tier,Outstate_Tier_Encoded,Private_Encoded,Apps_trans_scaled,Accept_trans_scaled,Enroll_trans_scaled,Top10perc_trans_scaled,F.Undergrad_trans_scaled,P.Undergrad_trans_scaled,Outstate_trans_scaled,Books_trans_scaled,Personal_trans_scaled,PhD_trans_scaled,Terminal_trans_scaled,S.F.Ratio_trans_scaled,perc.alumni_trans_scaled,Expend_trans_scaled,Accept_Rate_scaled,Outstate_Tier_Encoded_scaled,Private_Encoded_scaled
Allegheny College,Yes,2652,1900,484,44,77,1707,44,17080,4440,400,600,73.0,91,9.9,41,11711,76,0.4704370923523449,0.4826041907730734,0.09163566059495362,1.036004475647191,-0.07676448055721619,-1.1652934128860377,1.518662207314494,-1.0237043227479306,-1.419790908781924,-0.08499874626512405,0.7916295867079878,-1.0876837395145045,1.3596629107341651,0.8024489221253701,0.7164404223227753,High,2,1,0.4704370923523453,0.48260419077307354,0.09163566059495373,1.036004475647191,-0.07676448055721838,-1.1652934128860377,1.518662207314494,-1.0237043227479328,-1.419790908781924,-0.08499874626512376,0.7916295867079882,-1.087683739514505,1.3596629107341651,0.8024489221254075,-0.21462637470333104,1.8301690512544988,0.6114319153500704
Allentown Coll. of St. Francis de Sales,Yes,1179,780,290,38,64,1130,638,9690,4785,600,1000,60.0,84,13.3,21,7940,74,-0.28344363772626047,-0.41787874897311406,-0.4717847988783036,0.7728313953160668,-0.5267357814173667,0.4147956880364826,-0.059526477789433485,0.4488454168127673,-0.38201766038027757,-0.8786660394374439,0.18604632551126654,-0.14418170109309456,-0.005802574972423054,-0.1520717728641468,0.6615776081424937,Medium,1,1,-0.28344363772626,-0.41787874897311394,-0.4717847988783035,0.7728313953160667,-0.5267357814173689,0.41479568803648265,-0.05952647778943388,0.44884541681276535,-0.38201766038027757,-0.8786660394374436,0.1860463255112669,-0.14418170109309478,-0.005802574972423321,-0.15207177286410936,-0.5922013519993167,0.36524832997139145,0.6114319153500704
Alma College,Yes,1267,1080,385,44,73,1306,28,12572,4552,400,400,79.0,87,15.3,32,9305,68,-0.21464110275320894,-0.08237643733466476,-0.15464195008808357,1.036004475647191,-0.36417882325811884,-1.3941322364265463,0.6273473736646046,-1.0237043227479306,-2.2253916621767957,0.3313811845790514,0.43622029750213775,0.36585103864898416,0.8013473287828285,0.2613663382229741,0.8524072612470402,Medium,1,1,-0.2146411027532085,-0.08237643733466467,-0.15464195008808346,1.036004475647191,-0.364178823258121,-1.3941322364265463,0.6273473736646044,-1.0237043227479328,-2.2253916621767957,0.3313811845790517,0.43622029750213814,0.365851038648984,0.8013473287828284,0.2613663382230116,0.7211199388404553,0.36524832997139145,0.6114319153500704
Alverno College,Yes,494,313,157,23,46,1317,1235,8352,3640,650,2449,36.0,69,11.1,26,8127,55,-1.1447220340925757,-1.4000423951031737,-1.2075488201804345,-0.05547969999806644,-0.35491721363008005,0.8724296479079534,-0.42479257091511485,0.7485437875764888,1.5009058280000676,-1.950095590802649,-0.8646904686259159,-0.7418550947282283,0.38265991480354933,-0.08921454465073339,0.6336032388663968,Low,0,1,-1.1447220340925752,-1.4000423951031737,-1.2075488201804343,-0.05547969999806654,-0.3549172136300822,0.8724296479079535,-0.42479257091511535,0.7485437875764869,1.5009058280000676,-1.9500955908026487,-0.8646904686259157,-0.7418550947282286,0.3826599148035491,-0.08921454465069595,-0.7847255963733514,-1.099672391311716,0.6114319153500704
American International College,Yes,1420,1093,220,9,22,1018,287,8700,4780,450,1400,78.0,84,14.7,19,7355,69,-0.10642921916374623,-0.0701821529484355,-0.7944885751276375,-1.3390590413944048,-0.6472021315932492,-0.10089574329661864,-0.3262994765254822,-0.6036744589706652,0.31574018896209594,0.259795832499163,0.18604632551126654,0.21577495035720026,-0.17422905107118244,-0.36425893075717797,0.7697183098591549,Low,0,1,-0.10642921916374577,-0.0701821529484354,-0.7944885751276374,-1.3390590413944048,-0.6472021315932515,-0.10089574329661857,-0.32629947652548263,-0.6036744589706673,0.31574018896209594,0.25979583249916327,0.1860463255112669,0.21577495035720012,-0.17422905107118275,-0.3642589307571405,0.15204087482607248,-1.099672391311716,0.6114319153500704
Anderson University,Yes,1216,908,423,19,40,1819,281,10100,3520,550,1100,48.0,61,12.1,14,7994,59,-0.2538644625178133,-0.26029379208518977,-0.05229656180473429,-0.3430819714331799,-0.010999102488897228,-0.11399885643523408,0.04571793663676078,0.12646725882300056,-0.18552421188393892,-1.4786478771804488,-1.2975068699343983,-0.46486060496924364,-0.6391619317856582,-0.1336899321701825,0.7467105263157895,Medium,1,1,-0.25386446251781286,-0.26029379208518966,-0.05229656180473418,-0.34308197143318003,-0.01099910248889942,-0.11399885643523401,0.0457179366367604,0.12646725882299856,-0.18552421188393894,-1.4786478771804485,-1.2975068699343981,-0.464860604969244,-0.6391619317856585,-0.13368993217014505,-0.006302503631889008,0.36524832997139145,0.6114319153500704
Andrews University,Yes,1130,704,322,14,23,1586,326,9996,3090,900,1320,62.0,66,11.5,18,10908,46,-0.3241891644068299,-0.5251229557887327,-0.3530323179657268,-0.7738575489017414,-0.15400487499237991,-0.02130164421066722,0.019291012760720438,1.9986270438701197,0.1928962049080067,-0.7662592027979903,-1.0368844883532395,-0.6299164265370601,-0.2617966749661709,0.6422840717681714,0.6230088495575221,Medium,1,1,-0.32418916440682943,-0.5251229557887326,-0.3530323179657267,-0.7738575489017415,-0.1540048749923821,-0.021301644210667155,0.01929101276072006,1.9986270438701181,0.19289620490800669,-0.76625920279799,-1.0368844883532393,-0.6299164265370605,-0.2617966749661712,0.6422840717682088,-0.8576379389596874,0.36524832997139145,0.6114319153500704
Angelo State University,No,3540,2001,1016,24,54,4190,1512,5130,3592,500,2000,60.0,62,23.1,5,4010,34,0.7282079260895459,0.5333232464503663,0.8329625942509696,0.01057495289120002,0.7724966403270749,1.0186158711000037,-1.4998235616664484,-0.22262317064607157,1.0679442535532966,-0.8786660394374439,-1.2479642050627717,2.141749710790937,-1.7628708902979693,-2.386920145153224,0.5652542372881356,Low,0,0,0.7282079260895463,0.5333232464503664,0.8329625942509697,0.010574952891199925,0.7724966403270727,1.0186158711000037,-1.499823561666449,-0.22262317064607365,1.0679442535532966,-0.8786660394374436,-1.2479642050627715,2.1417497107909376,-1.7628708902979697,-2.3869201451531867,-1.255114749840994,-1.099672391311716,-1.635505074064474
Antioch University,Yes,713,661,252,25,44,712,23,15476,3336,400,1100,69.0,82,11.3,35,42926,48,-0.7745863939225492,-0.5914280771282069,-0.6341488208641781,0.07462985430502922,-1.081402736262842,-1.490632474745239,1.2214971844707152,-1.0237043227479306,-0.18552421188393892,-0.3450470097695861,0.026908565600263796,-0.6856894063241084,0.9955307035299448,2.882467149499875,0.9270687237026648,High,2,1,-0.7745863939225488,-0.5914280771282068,-0.634148820864178,0.07462985430502912,-1.0814027362628442,-1.490632474745239,1.221497184470715,-1.0237043227479328,-0.18552421188393894,-0.3450470097695858,0.026908565600264143,-0.6856894063241087,0.9955307035299447,2.882467149499912,1.2349524939648235,1.8301690512544988,0.6114319153500704
Appalachian State University,No,7313,4664,1910,20,63,9940,1035,6806,2540,96,2000,83.0,96,18.3,14,5854,70,1.35179618043655,1.3370947796907058,1.4010369329056298,-0.2672791173259531,1.4456809350826096,0.7471311205233493,-0.8983348458393731,-5.64692173820203,1.0679442535532966,0.6264621373681686,1.2719213033900254,1.0837698819653523,-0.6391619317856582,-1.0504959634820026,0.6377683577191303,Low,0,0,1.3517961804365504,1.3370947796907058,1.40103693290563,-0.2672791173259532,1.4456809350826074,0.7471311205233494,-0.8983348458393736,-5.646921738202033,1.0679442535532966,0.6264621373681689,1.271921303390026,1.0837698819653523,-0.6391619317856585,-1.050495963481965,-0.7560605583188293,-1.099672391311716,-1.635505074064474
Aquinas College,Yes,619,516,219,20,51,1251,767,11208,4124,350,1615,55.0,65,12.7,25,6584,65,-0.9159939132348351,-0.854746457552864,-0.7999255379799822,-0.2672791173259531,-0.41195842772330105,0.5394509416385761,0.3167895979559206,-1.4924117130767802,0.6154655415532355,-1.1441971717488406,-1.0916144806733752,-0.303019110231878,0.30823399686918296,-0.6868655913225886,0.8336025848142165,Medium,1,1,-0.9159939132348347,-0.8547464575528639,-0.7999255379799821,-0.2672791173259532,-0.4119584277233032,0.5394509416385762,0.31678959795592027,-1.4924117130767824,0.6154655415532355,-1.1441971717488404,-1.091614480673375,-0.3030191102318783,0.30823399686918274,-0.6868655913225512,0.5917030399214477,0.36524832997139145,0.6114319153500704
Arizona State University Main campus,No,12809,10308,3761,24,49,22593,7585,7434,4850,700,2100,88.0,93,18.9,5,4602,48,1.8109724527891597,2.049350535111996,1.952781230197945,0.01057495289120002,1.9773377411787,2.2922484802004597,-0.6982406066161736,1.0287304144592622,1.171855927186336,1.0149446356388536,0.9788813231015295,1.2215773371973018,-1.7628708902979693,-1.8693504529726197,0.8047466625029276,Low,0,0,1.8109724527891602,2.049350535111996,1.9527812301979453,0.010574952891199925,1.9773377411786979,2.2922484802004597,-0.698240606616174,1.0287304144592604,1.171855927186336,1.0149446356388538,0.97888132310153,1.2215773371973018,-1.7628708902979697,-1.8693504529725822,0.3931118014965053,-1.099672391311716,-1.635505074064474
Arkansas College (Lyon College),Yes,708,334,166,46,74,530,182,8644,3922,500,800,79.0,88,12.6,24,14579,54,-0.7815900969049341,-1.3281519650546143,-1.1378250379049069,1.1178230015151727,-1.4665364228480233,-0.37750627343460375,-0.3419722785178941,-0.22262317064607157,-0.8385145305308968,0.3313811845790514,0.5227114720482265,-0.32977869646566793,0.2322748898408057,1.2601858694436912,0.4717514124293785,Low,0,1,-0.7815900969049336,-1.3281519650546143,-1.1378250379049066,1.1178230015151727,-1.4665364228480255,-0.3775062734346037,-0.3419722785178945,-0.22262317064607365,-0.8385145305308968,0.3313811845790517,0.522711472048227,-0.3297786964656682,0.23227488984080544,1.2601858694437287,-1.898616682810458,-1.099672391311716,0.6114319153500704
Arkansas Tech University,No,1734,1729,951,12,52,3602,939,3460,2650,450,1000,57.0,60,19.6,5,4739,48,0.08099001815289253,0.3897875171031668,0.7702279352932572,-0.9785370964802453,0.6409553927781525,0.6790070489834125,-2.245960674145203,-0.6036744589706652,-0.38201766038027757,-1.0406425497511826,-1.3457825326608568,1.3801793817007506,-1.7628708902979693,-1.7638682625373494,0.9971164936562861,Low,0,0,0.08099001815289299,0.3897875171031669,0.7702279352932573,-0.9785370964802454,0.6409553927781503,0.6790070489834126,-2.245960674145204,-0.6036744589706673,-0.38201766038027757,-1.0406425497511824,-1.3457825326608566,1.3801793817007506,-1.7628708902979697,-1.7638682625373119,1.7170328528571464,-1.099672391311716,-1.635505074064474
Assumption College,Yes,2135,1700,491,23,59,1708,689,12000,5920,500,500,93.0,93,13.8,30,7100,88,0.2732163611652831,0.3730772212310357,0.10680343450927245,-0.05547969999806644,-0.07615420671072491,0.4665825753148542,0.4999453707713737,-0.22262317064607157,-1.784000288095055,1.425191176895042,0.9788813231015295,-0.013975971157088379,0.6666429698449552,-0.4650139440527212,0.7962529274004684,Medium,1,1,0.27321636116528353,0.3730772212310358,0.10680343450927256,-0.05547969999806654,-0.0761542067107271,0.46658257531485425,0.4999453707713734,-0.22262317064607365,-1.784000288095055,1.4251911768950423,0.97888132310153,-0.013975971157088578,0.6666429698449551,-0.4650139440526837,0.3346565092118125,0.36524832997139145,0.6114319153500704
Auburn University-Main Campus,No,7548,6791,3070,25,57,16262,1716,6300,3933,600,1908,85.0,91,16.7,18,6642,69,1.378221645711571,1.6793518570519168,1.7934320215566142,0.07462985430502922,1.7758645979077101,1.1115152676691753,-1.0685606611989047,0.4488454168127673,0.9678832606562263,0.7792401852307248,0.7916295867079878,0.7072311119742073,-0.2617966749661709,-0.6606209754880981,0.8997085320614733,Low,0,0,1.3782216457115715,1.6793518570519168,1.7934320215566144,0.07462985430502912,1.775864597907708,1.1115152676691753,-1.0685606611989054,0.44884541681276535,0.9678832606562263,0.7792401852307251,0.7916295867079882,0.7072311119742072,-0.2617966749661712,-0.6606209754880606,1.0466551218360416,-1.099672391311716,-1.635505074064474
Augsburg College,Yes,662,513,257,12,30,2074,726,11902,4372,540,950,65.0,65,12.8,31,7836,58,-0.8486329096543379,-0.861000165865119,-0.6112262964765407,-0.9785370964802453,0.12189798766583722,0.50202916277101,0.47772051262386284,0.0589338371736782,-0.4873892780078052,-0.5910270561252143,-1.0916144806733752,-0.27634292029735635,0.7345530092783118,-0.18801779646391942,0.7749244712990937,Medium,1,1,-0.8486329096543375,-0.8610001658651188,-0.6112262964765406,-0.9785370964802454,0.12189798766583503,0.5020291627710101,0.47772051262386256,0.05893383717367618,-0.4873892780078052,-0.591027056125214,-1.091614480673375,-0.27634292029735663,0.7345530092783117,-0.18801779646388198,0.1878705404539547,0.36524832997139145,0.6114319153500704
Augustana College IL,Yes,1879,1658,497,36,69,1950,38,13353,4173,540,821,78.0,83,12.7,40,9220,71,0.15554932927499623,0.34832830646362917,0.11960727679923575,0.678301268324476,0.05992397344507331,-1.2406214776980793,0.7953026360925041,0.0589338371736782,-0.7857596345819965,0.259795832499163,0.10571998260266878,-0.303019110231878,1.3009860204398638,0.23838208890750923,0.8823842469398616,Medium,1,1,0.15554932927499668,0.3483283064636293,0.11960727679923586,0.6783012683244759,0.05992397344507112,-1.2406214776980793,0.795302636092504,0.05893383717367618,-0.7857596345819965,0.25979583249916327,0.10571998260266914,-0.3030191102318783,1.3009860204398638,0.23838208890754667,0.9274265212037995,0.36524832997139145,0.6114319153500704
Augustana College,Yes,761,725,306,21,58,1337,300,10990,3244,600,1021,66.0,70,10.4,30,6871,69,-0.7099198965545375,-0.49429707026509867,-0.41061807777626796,-0.19422217291531432,-0.3383172203362619,-0.07333370569301684,0.2648927539415386,0.4488454168127673,-0.33924942088807825,-0.530852785233515,-0.8045859405355701,-0.9416747897833104,0.6666429698449552,-0.5603267110961287,0.9526938239159002,Medium,1,1,-0.709919896554537,-0.49429707026509856,-0.41061807777626785,-0.1942221729153144,-0.33831722033626405,-0.07333370569301677,0.2648927539415383,0.44884541681276535,-0.33924942088807825,-0.5308527852335146,-0.8045859405355699,-0.9416747897833109,0.6666429698449551,-0.5603267110960913,1.4113086794026672,0.36524832997139145,0.6114319153500704
Austin College,Yes,948,798,295,42,74,1120,15,11280,4342,400,1150,81.0,95,13.0,33,11361,71,-0.494136785535329,-0.39411365347945665,-0.4522604490288969,0.9513952875026418,-0.5368876002022019,-1.6940772138902724,0.33378429059313486,-1.0237043227479306,-0.09357017425507218,0.4771746426778103,1.1726062411645384,-0.22323711250244924,0.8670772597515548,0.7347671087228932,0.8417721518987342,Medium,1,1,-0.4941367855353286,-0.39411365347945654,-0.4522604490288968,0.9513952875026417,-0.5368876002022042,-1.6940772138902724,0.3337842905931345,-1.0237043227479328,-0.09357017425507219,0.47717464267781057,1.172606241164539,-0.2232371125024495,0.8670772597515547,0.7347671087229306,0.6479273541959328,0.36524832997139145,0.6114319153500704
Averett College,Yes,627,556,172,16,40,777,538,9925,4135,750,1350,59.0,67,22.4,11,6523,48,-0.9030881799653032,-0.7748910019807306,-1.093721092362519,-0.5897369692550372,-0.9721329464743201,0.30136309311121967,0.00114581738421371,1.2919414548995862,0.23977239425227162,-0.9335433168574541,-0.9808282263537185,1.9933116433066096,-0.9589007319312817,-0.7148515849923777,0.886762360446571,Medium,1,1,-0.9030881799653028,-0.7748910019807305,-1.0937210923625187,-0.5897369692550373,-0.9721329464743224,0.3013630931112197,0.0011458173842133293,1.2919414548995845,0.2397723942522716,-0.9335433168574537,-0.9808282263537182,1.9933116433066098,-0.958900731931282,-0.7148515849923402,0.9575574237576311,0.36524832997139145,0.6114319153500704
Baker University,Yes,602,483,206,21,47,958,466,8620,4100,400,2250,58.0,68,11.0,21,6136,65,-0.9440240187440183,-0.9257746373920096,-0.8733254114697189,-0.19422217291531432,-0.7185952426777742,0.207214125833888,-0.34870957995378277,-1.0237043227479306,1.319215387157323,-0.98753569322173,-0.9234340703527073,-0.7700882870015457,-0.005802574972423054,-0.902203007567974,0.8023255813953488,Low,0,1,-0.9440240187440179,-0.9257746373920095,-0.8733254114697188,-0.1942221729153144,-0.7185952426777764,0.20721412583388807,-0.3487095799537832,-1.0237043227479328,1.319215387157323,-0.9875356932217296,-0.9234340703527071,-0.7700882870015462,-0.005802574972423321,-0.9022030075679366,0.3764495201701794,-1.099672391311716,0.6114319153500704
Baldwin-Wallace College,Yes,1690,1366,662,30,61,2718,1460,10995,4410,1000,1000,68.0,74,17.6,20,8086,85,0.05703333906121747,0.15523504494147988,0.4150081919496953,0.36924448019518263,0.38403780906839297,0.9931283639336966,0.26609057807019054,2.414475888364001,-0.38201766038027757,-0.4078622247453497,-0.5503313595284204,0.9207095836031439,-0.08895267462994533,-0.10280575845199819,0.808284023668639,Medium,1,1,0.05703333906121793,0.15523504494147997,0.4150081919496954,0.3692444801951825,0.3840378090683908,0.9931283639336967,0.2660905780701902,2.414475888363999,-0.38201766038027757,-0.40786222474534944,-0.5503313595284202,0.9207095836031439,-0.0889526746299456,-0.10280575845196074,0.41745650713705634,0.36524832997139145,0.6114319153500704
Barat College,Yes,261,192,111,15,36,453,266,9690,4300,500,500,57.0,77,9.7,35,9337,71,-1.812886038834737,-1.951421298587854,-1.654837117180499,-0.6795322253656407,-1.6817487974964458,-0.14789628285036605,-0.059526477789433485,-0.22262317064607157,-1.784000288095055,-1.0406425497511826,-0.3447982089823837,-1.146902673531305,0.9955307035299448,0.2699362853861696,0.735632183908046,Medium,1,1,-1.8128860388347365,-1.951421298587854,-1.6548371171804988,-0.6795322253656408,-1.681748797496448,-0.147896282850366,-0.05952647778943388,-0.22262317064607365,-1.784000288095055,-1.0406425497511824,-0.34479820898238345,-1.1469026735313055,0.9955307035299447,0.26993628538620706,-0.08254549162983799,0.36524832997139145,0.6114319153500704
Bard College,Yes,1910,838,285,50,85,1004,15,19264,6206,750,750,98.0,98,10.4,30,13894,79,0.17068668368022974,-0.34329123243560117,-0.49170117417940024,1.273895148987768,-0.663393070733848,-1.6940772138902724,1.8951837328703995,1.2919414548995862,-0.9696251460136798,1.857152611135047,1.4755065650850636,-0.9416747897833104,0.6666429698449552,1.1641117633007376,0.4387434554973822,High,2,1,0.17068668368023018,-0.34329123243560106,-0.4917011741794001,1.273895148987768,-0.6633930707338502,-1.6940772138902724,1.8951837328703995,1.2919414548995845,-0.9696251460136798,1.8571526111350471,1.4755065650850643,-0.9416747897833109,0.6666429698449551,1.1641117633007751,-2.1257829114372195,1.8301690512544988,0.6114319153500704
